,company,costOfRevenue,ebit,grossProfit,incomeBeforeTax,incomeTaxExpense,interestExpense,minorityInterest,netIncome,netIncomeApplicableToCommonShares,netIncomeFromContinuingOps,operatingIncome,otherOperatingExpenses,sellingGeneralAdministrative,totalOperatingExpenses,totalOtherIncomeExpenseNet,totalRevenue,accountsPayable,capitalSurplus,cash,commonStock,deferredLongTermAssetCharges,inventory,longTermDebt,longTermInvestments,minorityInterest.1,netReceivables,netTangibleAssets,otherAssets,otherCurrentAssets,otherCurrentLiab,otherLiab,otherStockholderEquity,propertyPlantEquipment,retainedEarnings,totalAssets,totalCurrentAssets,totalCurrentLiabilities,totalLiab,totalStockholderEquity,treasuryStock,esgRiskRating,esgCluster,cluster,DCN
10,BBNI.jk,6.47E+11,,2.73E+13,5.11E+12,1.79E+12,,2.68E+12,3.28E+12,3.28E+12,3.32E+12,4.88E+12,3.18E+12,1.92E+13,2.3E+13,2.3E+11,2.79E+13,6.89E+14,1.46E+13,9.18E+13,9.05E+12,4.8E+12,1.87E+12,4.49E+13,1.21E+14,2.68E+12,3.87E+12,1.1E+14,5.71E+14,5.91E+13,1.71E+13,2.32E+13,1.97E+13,2.74E+13,6.7E+13,8.91E+14,1.73E+14,7.09E+14,7.78E+14,1.1E+14,1.96E+13,25.5,2,2,3
11,BBRI.jk,1.37E+12,,9.09E+13,3E+13,8.95E+12,,2.55E+12,2.1E+13,2.1E+13,2.1E+13,2.27E+13,1.56E+13,5.26E+13,6.95E+13,7.25E+12,9.22E+13,1.1E+15,3.41E+12,1.2E+14,6.17E+12,9.89E+12,67211000000,7.75E+13,3.18E+14,2.55E+12,8.23E+12,2.27E+14,1E+15,6.49E+13,2.44E+13,6.62E+13,5.2E+13,4.37E+13,1.67E+14,1.61E+15,2.48E+14,1.24E+15,1.38E+15,2.27E+14,5.04E+13,20.9,2,2,4
12,BBTN.jk,1.02E+12,,8.16E+12,2.27E+12,6.68E+11,,,1.6E+12,1.6E+12,1.6E+12,2.8E+12,2.9E+11,5.07E+12,6.38E+12,-5.29E+11,9.18E+12,2.59E+14,2.05E+12,2.35E+13,5.3E+12,1.97E+12,77591000000,2.73E+13,4.01E+13,,1.01E+12,2E+13,2.51E+14,1.8E+13,4.74E+12,2.59E+13,3.88E+12,5.82E+12,8.76E+12,3.61E+14,6.44E+13,2.88E+14,3.41E+14,2E+13,3.88E+12,30.3,3,5,3
13,BDMN.jk,,,1.14E+13,2.07E+12,9.78E+11,,4.68E+11,1.01E+12,1.01E+12,1.09E+12,2.27E+12,1.66E+12,7.44E+12,9.11E+12,-2.06E+11,1.14E+13,1.26E+14,7.99E+12,1.45E+13,6E+12,2.95E+12,8.82E+11,8.29E+12,2.85E+13,4.68E+11,9.55E+11,4.15E+13,1.31E+14,5.42E+12,2.47E+12,7.43E+12,4.43E+11,2.11E+12,2.87E+13,2.01E+14,3.8E+13,1.41E+14,1.57E+14,4.31E+13,4.43E+11,29.1,2,2,4
14,BEST.jk,1.15E+11,22157026867,1.27E+11,-1.09E+11,5817217844,-1.38E+11,388696655,-1.15E+11,-1.15E+11,-1.15E+11,22157026867,6847559958,98430660529,2.2E+11,-1.32E+11,2.42E+11,42995009420,2.31E+11,7.99E+11,9.65E+11,,1.58E+12,1.63E+12,96072298860,388696655,52725632979,4.36E+12,3.3E+12,2.93E+11,26778641792,37573020050,,1.63E+11,3.16E+12,6.28E+12,2.72E+12,2.59E+11,1.93E+12,4.36E+12,,23.4,2,3,0
15,BFIN.jk,71044000000,,2.36E+12,8.7E+11,1.68E+11,,4000000,7.02E+11,7.02E+11,7.02E+11,8.6E+11,-1.79E+11,1.59E+12,1.57E+12,10230000000,2.43E+12,1.74E+11,5.53E+11,1.41E+12,3.99E+11,2.05E+11,,7.77E+12,,4000000,1.27E+13,6.56E+12,2.36E+11,1.21E+11,1.02E+11,1.89E+11,-17727000000,6.49E+11,5.92E+12,1.52E+13,1.43E+13,6.32E+11,8.59E+12,6.61E+12,-2.7E+11,27.7,2,3,5
16,BJBR.jk,2.55E+11,,7.56E+12,2.17E+12,4.78E+11,,46276000000,1.69E+12,1.69E+12,1.69E+12,2.21E+12,3.52E+11,4.99E+12,5.6E+12,-44098000000,7.81E+12,1.08E+14,1.06E+12,1.04E+13,2.46E+12,1.01E+11,57832000000,9.32E+12,1.15E+13,46276000000,2.18E+11,1.2E+13,9.44E+13,9.42E+12,1.96E+12,5.85E+11,2.06E+12,4.42E+12,6.38E+12,1.41E+14,3.06E+13,1.18E+14,1.29E+14,1.2E+13,2.06E+12,40,4,0,4
17,BJTM.jk,52234000000,,3.86E+12,1.51E+12,18405000000,,,1.49E+12,1.49E+12,1.49E+12,1.52E+12,2.31E+11,2.11E+12,2.39E+12,-11580000000,3.91E+12,6.98E+13,5.33E+11,9.63E+12,3.75E+12,5.92E+11,,3.42E+11,1.47E+13,,4.15E+11,1E+13,4.07E+13,4.36E+12,6.23E+11,,6.83E+11,1.21E+12,5.04E+12,8.36E+13,2.71E+13,7.33E+13,7.36E+13,1E+13,6.83E+11,35,3,0,0
18,BMRI.jk,1.4E+12,,6.89E+13,2.44E+13,5.99E+12,,1.53E+13,1.68E+13,1.68E+13,1.84E+13,2.44E+13,7.27E+12,3.72E+13,4.58E+13,-35784000000,7.03E+13,1.06E+15,1.73E+13,5.26E+13,1.17E+13,8.1E+12,1.28E+12,6.27E+13,2.63E+14,1.53E+13,3.27E+13,1.85E+14,9.16E+14,7.06E+13,1.72E+13,1.52E+14,4.1E+13,4.98E+13,1.2E+14,1.54E+15,3.09E+14,1.12E+15,1.34E+15,1.89E+14,4.08E+13,29.3,2,2,4
19,BNGA.jk,,,1.1E+13,2.95E+12,9.36E+11,,14112000000,2.01E+12,2.01E+12,2.01E+12,2.86E+12,2.03E+11,7.9E+12,8.1E+12,91727000000,1.1E+13,2.09E+14,7.03E+12,2.18E+13,1.61E+12,7.38E+11,2.99E+11,6.47E+12,5.72E+13,14112000000,2.87E+12,3.93E+13,1.64E+14,1.4E+13,6.08E+12,2.36E+12,4.72E+12,6.99E+12,2.79E+13,2.81E+14,5.1E+13,2.31E+14,2.4E+14,4.1E+13,4.47E+12,28,2,2,4
